,load_demand_mw,pv_generation_mw,wind_generation_mw,gas_generation_mw,battery_charge_mw,battery_discharge_mw,battery_net_mw,battery_soc,grid_purchase_mw,grid_sale_mw,chiller_load_mw,heat_pump_load_mw,total_renewable_mw,grid_net_mw,total_supply_mw,power_balance_mw
2024-01-01 00:00:00,45.44704273771011,0.0,10.337123400806277,30.0,-100.0,0.1,-99.9,0.0,14.109919,0.0,6.0,3.0,40.33712340080628,14.109919,-15.452957599193729,-60.900000336903844
2024-01-01 01:00:00,41.8838579870162,0.0,15.921680029422449,30.0,-99.9,0.0999,-99.8001,0.0,4.962178,0.0,6.0,3.0,45.92168002942245,4.962178,-18.916241970577552,-60.80009995759375
2024-01-01 02:00:00,40.51815083048055,0.0,7.015340326305186,30.0,-99.8001,0.0998001,-99.7002999,0.0,18.352927,0.0,6.0,3.0,37.015340326305186,18.352927,-14.33203257369481,-54.85018340417536
2024-01-01 03:00:00,39.157502690870096,0.0,22.913678993802215,30.0,-105.25791,0.10525791,-105.15265208999999,0.0,45.243824,0.0,6.0,3.0,52.913678993802215,45.243824,23.00485090380223,-16.152651787067867
2024-01-01 04:00:00,36.82672650270473,0.0,5.010207729711825,30.0,-152.65265,0.15265265,-152.49999735,0.0,60.816519,0.0,6.0,3.0,35.01020772971182,60.816519,-26.67327062028818,-63.49999712299291
2024-01-01 05:00:00,38.81737317357964,0.0,30.0,30.0,-200.0,0.2,-199.8,0.0,0.0,11.972101,6.0,3.0,60.0,-11.972101,-121.772101,-160.58947417357965
2024-01-01 06:00:00,43.32653876502621,2.099573346942651,21.89412577615854,30.0,-200.0,0.2,-199.8,0.0,0.0,1.456634,6.0,3.0,53.993699123101194,-1.456634,-117.26293487689881,-160.58947364192503
2024-01-01 07:00:00,48.73673733998679,7.499999999999999,8.472235757101371,30.0,-200.0,0.2,-199.8,0.0,11.764502,0.0,6.0,3.0,45.97223575710137,11.764502,-112.06326224289865,-160.79999958288545
2024-01-01 08:00:00,54.48357817547155,15.726379856708617,1.339449215835783,30.0,-199.8,0.1998,-199.6002,0.0,16.838591,0.0,6.0,3.0,47.0658290725444,16.838591,-105.69577992745559,-160.17935810292715
2024-01-01 09:00:00,60.65107205230315,21.841294945371278,23.399285371684,30.0,-200.0,0.2,-199.8,0.0,0.0,5.5895083,6.0,3.0,75.24058031705528,-5.5895083,-100.14892798294474,-160.80000003524788
2024-01-01 10:00:00,64.3975569993438,36.83454342038696,19.939384995365387,30.0,-199.8,0.1998,-199.6002,0.0,0.0,13.376371,6.0,3.0,86.77392841575235,-13.376371,-96.20264258424766,-160.60019958359146
2024-01-01 11:00:00,67.36660753514445,33.06141448762315,20.567809374051276,30.0,-199.6002,0.1996002,-199.4005998,0.0,0.0,7.2626163,6.0,3.0,83.62922386167443,-7.2626163,-93.03399223832558,-160.40059977347005
2024-01-01 12:00:00,70.33874718019244,41.4398861775214,21.862513726424467,30.0,-199.4006,0.1994006,-199.2011994,50.0,0.0,63.963653,6.0,3.0,93.30239990394587,-63.963653,-139.86245249605415,-210.20119967624657
2024-01-01 13:00:00,69.24487644769277,33.441566911571066,4.992502581518613,30.0,-146.56962,0.14656962,-146.42305037999998,0.0,9.810807,0.0,6.0,3.0,68.43406949308968,9.810807,-38.1781738869103,-107.42305033460308
2024-01-01 14:00:00,67.58511503448175,34.52316277995706,11.992548764247712,30.0,-146.42305,0.14642305,-146.27662694999998,50.0,0.0,49.930597,6.0,3.0,76.51571154420478,-49.930597,-89.69151240579521,-157.27662744027697
2024-01-01 15:00:00,67.23528896023228,36.787444943476494,6.316694855052101,30.0,-93.645049,0.093645049,-93.551403951,50.0,0.0,46.868851,6.0,3.0,73.10413979852859,-46.868851,-37.316115152471404,-104.5514041127037
2024-01-01 16:00:00,64.66306292115856,31.650016384985086,25.382741798656507,30.0,-40.919825,0.040919825,-40.878905175,38.83496,0.0,52.204655,6.0,3.0,87.03275818364159,-52.204655,23.949198008641588,-40.71386491251697
2024-01-01 17:00:00,65.40852153237385,20.635578632677436,17.7854318506695,30.0,-0.0,0.0,0.0,0.0,5.987511,0.0,6.0,3.0,68.42101048334693,5.987511,104.40852148334693,38.99999995097308
2024-01-01 18:00:00,60.874050146353696,11.105439647014697,11.41005221747129,30.0,-0.0,0.0,0.0,0.0,17.358558,0.0,6.0,3.0,52.51549186448599,17.358558,99.874049864486,38.9999997181323
2024-01-01 19:00:00,56.36172770645106,4.349448152205356,4.612640601732338,30.0,-0.0,0.0,0.0,0.0,31.728768,0.0,6.0,3.0,38.96208875393769,31.728768,100.6908567539377,44.32912904748663
2024-01-01 20:00:00,56.61221364581371,0.7521478009632573,10.985728265934608,30.0,-5.0626728,0.0050626728,-5.057610127199999,0.0,23.874338,0.0,6.0,3.0,41.73787606689787,23.874338,90.55460393969787,33.94239029388416
2024-01-01 21:00:00,51.765192647494004,0.0,11.288658249396098,30.0,-5.0576102,0.0050576102,-5.0525525898,0.0,69.476534,0.0,6.0,3.0,41.2886582493961,69.476534,135.7126396595961,83.9474470121021
2024-01-01 22:00:00,48.06482707650041,0.0,20.585231453697773,30.0,-52.552553,0.052552553,-52.500000447000005,0.0,56.479596,0.0,6.0,3.0,50.58523145369777,56.479596,84.56482700669777,36.49999993019736
2024-01-01 23:00:00,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
