load_demand_mw,gas_generation_mw,battery_charge_mw,battery_discharge_mw,battery_net_mw,battery_soc,grid_purchase_mw,grid_sale_mw,chiller_load_mw,heat_pump_load_mw,total_renewable_mw,grid_net_mw,total_supply_mw,power_balance_mw
45.44704273771011,30.0,-100.0,0.1,-99.9,50.0,550.44704,500.0,20.0,15.0,30.0,50.447040000000015,10.54704000000001,-34.9000027377101
41.8838579870162,30.0,-94.768421,0.094768421,-94.673652579,50.0,546.88386,500.0,20.0,15.0,30.0,46.88386000000003,12.210207421000021,-29.67365056601618
40.51815083048055,30.0,-89.542074,0.089542074,-89.452531926,50.0,545.51815,500.0,20.0,15.0,30.0,45.51814999999999,16.065618073999985,-24.452532756480565
39.157502690870096,30.0,-84.320953,0.084320953,-84.236632047,50.0,494.1575,500.0,20.0,15.0,30.0,-5.842499999999973,-30.079132046999973,-69.23663473787008
36.82672650270473,30.0,-31.605053,0.031605053,-31.573447947000002,50.0,519.40025,500.0,20.0,15.0,30.0,19.400250000000028,47.82680205300002,11.000075550295293
38.81737317357964,30.0,-5.1367157,0.0051367157,-5.1315789843,50.0,543.81737,500.0,20.0,15.0,30.0,43.81736999999998,98.68579101569998,59.86841784212034
43.32653876502621,30.0,-0.0,0.0,0.0,45.125,553.20154,500.0,20.0,15.0,30.0,53.20154000000002,113.20154000000002,69.87500123497381
48.73673733998679,30.0,-0.0,0.0,0.0,40.24512,563.49162,500.0,20.0,15.0,30.0,63.49162000000001,123.49162000000001,74.75488266001322
54.48357817547155,30.0,-5.1367157,0.0051367157,-5.1315789843,50.0,559.48358,500.0,20.0,15.0,30.0,59.48357999999996,114.35200101569995,59.868422840228405
60.65107205230315,30.0,-0.0,0.0,0.0,45.125,570.52607,500.0,20.0,15.0,30.0,70.52607,130.52607,69.87499794769685
64.3975569993438,30.0,-0.0,0.0,0.0,45.125,574.27256,500.0,20.0,15.0,30.0,74.27256,134.27256,69.87500300065619
67.36660753514445,30.0,-0.0,0.0,0.0,30.375451,591.99116,500.0,20.0,15.0,30.0,91.99116000000004,151.99116000000004,84.62455246485558
70.33874718019244,30.0,-15.525841,0.015525841,-15.510315159,0.0,625.33875,500.0,20.0,15.0,30.0,125.33875,169.828434841,99.48968766080755
69.24487644769277,30.0,-63.010316,0.063010316,-62.947305684,50.0,574.24488,500.0,20.0,15.0,30.0,74.24487999999997,71.29757431599997,2.0526978683071917
67.58511503448175,30.0,-57.815726,0.057815726,-57.757910274,0.0,622.58512,500.0,20.0,15.0,30.0,122.58511999999996,124.82720972599996,57.24209469151822
67.23528896023228,30.0,-105.25791,0.10525791,-105.15265208999999,0.0,622.23529,500.0,20.0,15.0,30.0,122.23528999999996,77.08263790999997,9.847348949767692
64.66306292115856,30.0,-152.65265,0.15265265,-152.49999735,0.0,619.66306,500.0,20.0,15.0,30.0,119.66305999999997,27.163062649999972,-37.500000271158584
65.40852153237385,30.0,-200.0,0.2,-199.8,44.935,575.47352,500.0,20.0,15.0,30.0,75.47352000000001,-64.32648,-129.73500153237387
60.874050146353696,30.0,-200.0,0.2,-199.8,50.0,565.87405,500.0,20.0,15.0,30.0,65.87405000000001,-73.92595,-134.80000014635368
56.36172770645106,30.0,-194.66842,0.19466842,-194.47375158,50.0,561.36173,500.0,20.0,15.0,30.0,61.361729999999966,-73.11202158000003,-129.4737492864511
56.61221364581371,30.0,-189.34217,0.18934217,-189.15282783,50.0,561.61221,500.0,20.0,15.0,30.0,61.612210000000005,-67.54061783,-124.15283147581371
51.765192647494004,30.0,-184.02125,0.18402125,-183.83722875,50.0,529.47963,500.0,20.0,15.0,30.0,29.479630000000043,-94.35759874999997,-146.12279139749398
48.06482707650041,30.0,-152.78436,0.15278436,-152.63157564,50.0,503.06483,500.0,20.0,15.0,30.0,3.064829999999972,-89.56674564000002,-137.63157271650044
0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
