load_demand_mw,pv_generation_mw,wind_generation_mw,battery_charge_mw,battery_discharge_mw,battery_net_mw,battery_soc,grid_purchase_mw,grid_sale_mw,total_renewable_mw,grid_net_mw,total_supply_mw,power_balance_mw
45.44704273771011,0.0,10.337123400806277,-100.0,0.1,-99.9,50.0,535.10992,500.0,10.337123400806277,35.10991999999999,-54.45295659919374,-99.89999933690385
41.8838579870162,0.0,15.921680029422449,-94.768421,0.094768421,-94.673652579,50.0,525.96218,500.0,15.921680029422449,25.96217999999999,-52.78979254957757,-94.67365053659377
40.51815083048055,0.0,7.015340326305186,-89.542074,0.089542074,-89.452531926,50.0,533.50281,500.0,7.015340326305186,33.502809999999954,-48.93438159969486,-89.45253243017541
39.157502690870096,0.0,22.913678993802215,-84.320953,0.084320953,-84.236632047,50.0,466.24382,500.0,22.913678993802215,-33.75617999999997,-95.07913305319775,-134.23663574406785
36.82672650270473,0.0,5.010207729711825,-31.605053,0.031605053,-31.573447947000002,50.0,509.39004,500.0,5.010207729711825,9.390039999999999,-17.173200217288176,-53.99992671999291
38.81737317357964,0.0,30.0,-5.1367157,0.0051367157,-5.1315789843,50.0,508.81737,500.0,30.0,8.817369999999983,33.685791015699984,-5.131582157879656
43.32653876502621,2.099573346942651,21.89412577615854,-0.0,0.0,0.0,45.125,524.20784,500.0,23.99369912310119,24.207840000000033,48.20153912310123,4.87500035807502
48.73673733998679,7.499999999999999,8.472235757101371,-0.0,0.0,0.0,40.24512,542.51938,500.0,15.97223575710137,42.519379999999956,58.49161575710133,9.75487841711454
54.48357817547155,15.726379856708617,1.339449215835783,-5.1367157,0.0051367157,-5.1315789843,50.0,537.41775,500.0,17.0658290725444,37.417749999999955,49.35200008824435,-5.131578087227197
60.65107205230315,21.841294945371278,23.399285371684,-0.0,0.0,0.0,45.125,520.28549,500.0,45.240580317055276,20.28548999999998,65.52607031705526,4.874998264752108
64.3975569993438,36.83454342038696,19.939384995365387,-0.0,0.0,0.0,45.125,512.49863,500.0,56.773928415752344,12.498630000000048,69.2725584157524,4.875001416408594
67.36660753514445,33.06141448762315,20.567809374051276,-0.0,0.0,0.0,30.375451,533.36193,500.0,53.62922386167443,33.36193000000003,86.99115386167446,19.62454632653001
70.33874718019244,41.4398861775214,21.862513726424467,-15.525841,0.015525841,-15.510315159,0.0,557.03635,500.0,63.30239990394587,57.03634999999997,104.82843474494584,34.489687564753396
69.24487644769277,33.441566911571066,4.992502581518613,-63.010316,0.063010316,-62.947305684,50.0,530.81081,500.0,38.43406949308968,30.810809999999947,6.297573809089627,-62.94730263860315
67.58511503448175,34.52316277995706,11.992548764247712,-57.815726,0.057815726,-57.757910274,0.0,571.0694,500.0,46.51571154420478,71.06939999999997,59.82720127020475,-7.757913764276992
67.23528896023228,36.787444943476494,6.316694855052101,-105.25791,0.10525791,-105.15265208999999,0.0,574.13115,500.0,43.10413979852859,74.13115000000005,12.082637708528651,-55.15265125170363
64.66306292115856,31.650016384985086,25.382741798656507,-152.65265,0.15265265,-152.49999735,0.0,557.6303,500.0,57.03275818364159,57.630300000000034,-37.83693916635838,-102.50000208751693
65.40852153237385,20.635578632677436,17.7854318506695,-200.0,0.2,-199.8,44.935,532.05251,500.0,38.42101048334693,32.052509999999984,-129.32647951665308,-194.73500104902695
60.874050146353696,11.105439647014697,11.41005221747129,-200.0,0.2,-199.8,50.0,538.35856,500.0,22.515491864485988,38.35856000000001,-138.925948135514,-199.79999828186772
56.36172770645106,4.349448152205356,4.612640601732338,-194.66842,0.19466842,-194.47375158,50.0,547.39964,500.0,8.962088753937692,47.39963999999998,-138.11202282606234,-194.4737505325134
56.61221364581371,0.7521478009632573,10.985728265934608,-189.34217,0.18934217,-189.15282783,50.0,544.87434,500.0,11.737876066897865,44.87433999999996,-132.5406117631022,-189.1528254089159
51.765192647494004,0.0,11.288658249396098,-184.02125,0.18402125,-183.83722875,50.0,513.19097,500.0,11.288658249396098,13.190969999999993,-159.35760050060392,-211.1227931480979
48.06482707650041,0.0,20.585231453697773,-152.78436,0.15278436,-152.63157564,50.0,477.4796,500.0,20.585231453697773,-22.520399999999995,-154.56674418630223,-202.63157126280265
0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
